@relation 'train_data-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L2-weka.filters.unsupervised.attribute.MathExpression-Eabs(A11)-R1-10,12-22-weka.filters.unsupervised.attribute.MathExpression-EA11/365-R1-10,12-22-weka.filters.unsupervised.attribute.MathExpression-Eabs(A12)-R1-11,13-22-weka.filters.unsupervised.attribute.MathExpression-EA12/365-R1-11,13-22-weka.filters.unsupervised.attribute.AddExpression-Ea11+a12-NStability-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-RIncome-N\'(-inf-0.333333]\':Low,\'(0.333333-0.666667]\':Middle,\'(0.666667-inf)\':High-weka.filters.unsupervised.attribute.RenameNominalValues-RAge-N\'(-inf-0.333333]\':Young,\'(0.333333-0.666667]\':Adult,\'(0.666667-inf)\':Old-weka.filters.unsupervised.attribute.RenameNominalValues-R12-N\'(-inf-0.333333]\':Fresh,\'(0.333333-0.666667]\':Junior,\'(0.666667-inf)\':Senior-weka.filters.unsupervised.attribute.RenameNominalValues-R5-N\'(-inf-0.333333]\':Few,\'(0.333333-0.666667]\':Average,\'(0.666667-inf)\':Many-weka.filters.unsupervised.attribute.RenameNominalValues-R15-N\'(-inf-0.333333]\':Y,\'(0.666667-inf)\':N-weka.filters.unsupervised.attribute.RenameNominalValues-R18-N\'(-inf-0.333333]\':Few,\'(0.333333-0.666667]\':Average,\'(0.666667-inf)\':Many-weka.filters.unsupervised.attribute.RenameNominalValues-R19-N\'(-inf-0.333333]\':Fresh,\'(0.333333-0.666667]\':Junior,\'(0.666667-inf)\':Senior-weka.filters.unsupervised.attribute.RenameNominalValues-R19-N\'(-inf-0.333333]\':Y,\'(0.666667-inf)\':N-weka.filters.unsupervised.attribute.RenameNominalValues-R20-N\'(-inf-0.333333]\':Y,\'(0.666667-inf)\':N-weka.filters.unsupervised.attribute.RenameNominalValues-R21,22-N\'(-inf-0.333333]\':N,\'(0.666667-inf)\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R21-N\'(-inf-0.333333]\':N,\'(0.666667-inf)\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R13-N\'All\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R14-N\'All\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R16-N\'All\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R21,22-N\'no\':N,\'yes\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R21-N\'no\':N,\'yes\':Y-weka.filters.unsupervised.attribute.RenameNominalValues-R18-NAverage:Moderate-weka.filters.unsupervised.attribute.RenameNominalValues-R19-NFresh:New-weka.filters.unsupervised.attribute.RenameNominalValues-R19-NJunior:Moderate-weka.filters.unsupervised.attribute.RenameNominalValues-R19-NSenior:Old'

@attribute ID {'\'(-inf-0.333333]\'','\'(0.333333-0.666667]\'','\'(0.666667-inf)\''}
@attribute Gender {M,F}
@attribute 'Has a car' {Y,N}
@attribute 'Has a property' {Y,N}
@attribute 'Children count' {Few,Average,Many}
@attribute Income {Low,Middle,High}
@attribute 'Employment status' {Working,'Commercial associate',Pensioner,'State servant',Student}
@attribute 'Education level' {'Secondary / secondary special','Higher education','Lower secondary','Incomplete higher','Academic degree'}
@attribute 'Marital status' {Married,'Single / not married',Separated,'Civil marriage',Widow}
@attribute Dwelling {'With parents','House / apartment','Municipal apartment','Rented apartment','Office apartment','Co-op apartment'}
@attribute Age {Young,Adult,Old}
@attribute 'Employment length' {Fresh,Junior,Senior}
@attribute 'Has a mobile phone' {Y}
@attribute 'Has a work phone' {Y}
@attribute 'Has a phone' {Y,'\'(0.333333-0.666667]\'',N}
@attribute 'Has an email' {Y}
@attribute 'Job title' {'Core staff',Accountants,Laborers,Managers,'Sales staff','Medicine staff','High skill tech staff','HR staff','Low-skill Laborers',Drivers,Secretaries,'Cleaning staff','Cooking staff','Security staff','Private service staff','IT staff','Waiters/barmen staff','Realty agents'}
@attribute 'Family member count' {Few,Moderate,Many}
@attribute 'Account age' {New,Moderate,Old}
@attribute 'Is high risk' {Y,'\'(0.333333-0.666667]\'',N}
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}
@attribute Stability numeric

@data
'\'(-inf-0.333333]\'',M,Y,Y,Few,Low,Working,'Secondary / secondary special',Married,'With parents',Adult,Fresh,Y,Y,Y,Y,'Core staff',Few,Old,Y,no,no,53.10137
'\'(-inf-0.333333]\'',F,Y,N,Few,Low,'Commercial associate','Higher education','Single / not married','House / apartment',Young,Fresh,Y,Y,Y,Y,Accountants,Few,Old,Y,no,no,32.276712
'\'(0.333333-0.666667]\'',F,N,Y,Average,Low,'Commercial associate','Secondary / secondary special',Married,'House / apartment',Young,Junior,Y,Y,Y,Y,Laborers,Moderate,Moderate,Y,no,no,50.624658
'\'(0.666667-inf)\'',F,N,N,Few,Middle,Working,'Secondary / secondary special',Separated,'House / apartment',Adult,Fresh,Y,Y,N,Y,Laborers,Few,New,Y,no,no,45.813699
'\'(-inf-0.333333]\'',M,Y,Y,Few,Middle,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,'Core staff',Few,Old,Y,no,no,51.723288
'\'(-inf-0.333333]\'',F,Y,N,Few,Middle,Working,'Higher education',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,Laborers,Moderate,Old,Y,no,no,30.10411
'\'(-inf-0.333333]\'',M,Y,Y,Few,Middle,Working,'Higher education',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,Managers,Few,Old,Y,no,no,51.843836
'\'(-inf-0.333333]\'',F,N,Y,Few,Middle,Working,'Secondary / secondary special',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,'Sales staff',Moderate,Old,Y,no,no,29.542466
'\'(0.333333-0.666667]\'',M,N,N,Few,Low,'Commercial associate','Higher education','Single / not married','House / apartment',Young,Fresh,Y,Y,Y,Y,'Sales staff',Few,Old,Y,no,no,32.306849
'\'(-inf-0.333333]\'',F,Y,Y,Few,Low,'State servant','Secondary / secondary special',Married,'House / apartment',Old,Junior,Y,Y,Y,Y,'Medicine staff',Few,New,Y,no,no,67.169863
'\'(-inf-0.333333]\'',F,N,Y,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,'High skill tech staff',Moderate,New,Y,no,no,43.643836
'\'(0.333333-0.666667]\'',F,Y,Y,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,'Sales staff',Few,Old,Y,no,no,48.421918
'\'(-inf-0.333333]\'',F,N,Y,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Junior,Y,Y,Y,Y,'Core staff',Few,New,Y,no,no,52.076712
'\'(-inf-0.333333]\'',F,N,Y,Many,Low,'Commercial associate','Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,Y,Y,'Sales staff',Many,Old,Y,no,no,45.712329
'\'(0.666667-inf)\'',M,Y,N,Average,Middle,'Commercial associate','Secondary / secondary special',Married,'House / apartment',Adult,Junior,Y,Y,Y,Y,Laborers,Moderate,Moderate,Y,no,no,50.646575
'\'(0.666667-inf)\'',F,Y,Y,Few,High,'Commercial associate','Higher education',Married,'House / apartment',Adult,Fresh,Y,Y,N,Y,Managers,Moderate,Old,Y,no,no,49.027397
'\'(0.333333-0.666667]\'',F,N,N,Few,Low,'Commercial associate','Secondary / secondary special','Civil marriage','House / apartment',Adult,Fresh,Y,Y,Y,Y,Laborers,Few,Moderate,Y,no,no,45.356164
'\'(-inf-0.333333]\'',F,N,Y,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,'Sales staff',Moderate,New,Y,no,no,33.449315
'\'(-inf-0.333333]\'',F,Y,N,Few,Low,Working,'Secondary / secondary special',Married,'Municipal apartment',Adult,Fresh,Y,Y,N,Y,'Sales staff',Few,Moderate,Y,no,no,50.273973
'\'(-inf-0.333333]\'',F,Y,Y,Few,Low,Working,'Higher education',Married,'House / apartment',Young,Fresh,Y,Y,Y,Y,Laborers,Moderate,Moderate,Y,no,no,26.29589
'\'(0.333333-0.666667]\'',F,Y,N,Average,Middle,Working,'Secondary / secondary special',Married,'With parents',Young,Fresh,Y,Y,Y,Y,Managers,Moderate,Moderate,Y,no,no,42.624658
'\'(-inf-0.333333]\'',F,Y,Y,Few,Low,Working,'Secondary / secondary special',Married,'House / apartment',Adult,Fresh,Y,Y,N,Y,Laborers,Few,Old,Y,no,no,47.413699
