@relation 'train_data-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L2-weka.filters.unsupervised.attribute.MathExpression-Eabs(A11)-R1-10,12-22-weka.filters.unsupervised.attribute.MathExpression-EA11/365-R1-10,12-22-weka.filters.unsupervised.attribute.MathExpression-Eabs(A12)-R1-11,13-22-weka.filters.unsupervised.attribute.MathExpression-EA12/365-R1-11,13-22-weka.filters.unsupervised.attribute.AddExpression-Ea11+a12-NStability-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-RIncome-N\'(-inf-0.333333]\':Low,\'(0.333333-0.666667]\':Middle,\'(0.666667-inf)\':High-weka.filters.unsupervised.attribute.RenameNominalValues-RAge-N\'(-inf-0.333333]\':Young,\'(0.333333-0.666667]\':Adult,\'(0.666667-inf)\':Old-weka.filters.unsupervised.attribute.RenameNominalValues-R12-N\'(-inf-0.333333]\':Fresh,\'(0.333333-0.666667]\':Junior,\'(0.666667-inf)\':Senior-weka.filters.unsupervised.attribute.Remove-R1-6,8,10-11,13-16,18,20-23-weka.filters.unsupervised.attribute.RenameNominalValues-RAccount age-N\'(-inf-0.333333]\':\'new\', \'(0.333333-0.666667]\':\'moderate\', \'(0.666667-inf)\':\'old\''

@attribute 'Employment status' {Working,'Commercial associate',Pensioner,'State servant',Student}
@attribute 'Marital status' {Married,'Single / not married',Separated,'Civil marriage',Widow}
@attribute 'Employment length' {Fresh,Junior,Senior}
@attribute 'Job title' {'Core staff',Accountants,Laborers,Managers,'Sales staff','Medicine staff','High skill tech staff','HR staff','Low-skill Laborers',Drivers,Secretaries,'Cleaning staff','Cooking staff','Security staff','Private service staff','IT staff','Waiters/barmen staff','Realty agents'}
@attribute 'Account age' {'\'new\'','\'moderate\'','\'old\''}

@data
Working,Married,Fresh,'Core staff','\'old\''
'Commercial associate','Single / not married',Fresh,Accountants,'\'old\''
'Commercial associate',Married,Junior,Laborers,'\'moderate\''
Working,Separated,Fresh,Laborers,'\'new\''
Working,Married,Fresh,'Core staff','\'old\''
Working,Married,Fresh,Laborers,'\'old\''
Working,Married,Fresh,Managers,'\'old\''
Working,Married,Fresh,'Sales staff','\'old\''
'Commercial associate','Single / not married',Fresh,'Sales staff','\'old\''
'State servant',Married,Junior,'Medicine staff','\'new\''
Working,Married,Fresh,'High skill tech staff','\'new\''
Working,Married,Fresh,'Sales staff','\'old\''
Working,Married,Junior,'Core staff','\'new\''
'Commercial associate',Married,Fresh,'Sales staff','\'old\''
'Commercial associate',Married,Junior,Laborers,'\'moderate\''
'Commercial associate',Married,Fresh,Managers,'\'old\''
'Commercial associate','Civil marriage',Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,'Sales staff','\'new\''
Working,Married,Fresh,'Sales staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,Managers,'\'moderate\''
Working,Married,Fresh,Laborers,'\'old\''
Working,'Civil marriage',Fresh,'Core staff','\'old\''
'Commercial associate','Civil marriage',Fresh,'Sales staff','\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Junior,Managers,'\'old\''
Working,Married,Fresh,'High skill tech staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'new\''
'Commercial associate',Married,Junior,Laborers,'\'moderate\''
Working,Widow,Fresh,Secretaries,'\'old\''
Working,Married,Fresh,'Cleaning staff','\'old\''
Working,Married,Fresh,'Core staff','\'old\''
Working,Married,Fresh,'Sales staff','\'moderate\''
'State servant',Separated,Fresh,Laborers,'\'old\''
Working,Married,Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,Laborers,'\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,Drivers,'\'old\''
Working,'Single / not married',Fresh,Laborers,'\'old\''
Working,Married,Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,'Cooking staff','\'moderate\''
