@relation 'train_data-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L2-weka.filters.unsupervised.attribute.MathExpression-Eabs(A11)-R1-10,12-22-weka.filters.unsupervised.attribute.MathExpression-EA11/365-R1-10,12-22-weka.filters.unsupervised.attribute.MathExpression-Eabs(A12)-R1-11,13-22-weka.filters.unsupervised.attribute.MathExpression-EA12/365-R1-11,13-22-weka.filters.unsupervised.attribute.AddExpression-Ea11+a12-NStability-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-RIncome-N\'(-inf-0.333333]\':Low,\'(0.333333-0.666667]\':Middle,\'(0.666667-inf)\':High-weka.filters.unsupervised.attribute.RenameNominalValues-RAge-N\'(-inf-0.333333]\':Young,\'(0.333333-0.666667]\':Adult,\'(0.666667-inf)\':Old-weka.filters.unsupervised.attribute.RenameNominalValues-R12-N\'(-inf-0.333333]\':Fresh,\'(0.333333-0.666667]\':Junior,\'(0.666667-inf)\':Senior-weka.filters.unsupervised.attribute.Remove-R1-6,8,10,11,13-16,18-weka.filters.unsupervised.attribute.Remove-R7-9-weka.filters.unsupervised.attribute.RenameNominalValues-RAccount age-N\'(-inf-0.333333]\':\'new\', \'(0.333333-0.666667]\':\'moderate\', \'(0.666667-inf)\':\'old\'-weka.filters.unsupervised.attribute.RenameNominalValues-RIs high risk-N\'(-inf-0.333333]\':\'low\', \'(0.333333-0.666667]\':\'moderate\', \'(0.666667-inf)\':\'high\''

@attribute 'Employment status' {Working,'Commercial associate',Pensioner,'State servant',Student}
@attribute 'Marital status' {Married,'Single / not married',Separated,'Civil marriage',Widow}
@attribute 'Employment length' {Fresh,Junior,Senior}
@attribute 'Job title' {'Core staff',Accountants,Laborers,Managers,'Sales staff','Medicine staff','High skill tech staff','HR staff','Low-skill Laborers',Drivers,Secretaries,'Cleaning staff','Cooking staff','Security staff','Private service staff','IT staff','Waiters/barmen staff','Realty agents'}
@attribute 'Account age' {'\'new\'','\'moderate\'','\'old\''}
@attribute 'Is high risk' {'\'low\'','\'moderate\'','\'high\''}

@data
Working,Married,Fresh,'Core staff','\'old\'','\'low\''
'Commercial associate','Single / not married',Fresh,Accountants,'\'old\'','\'low\''
'Commercial associate',Married,Junior,Laborers,'\'moderate\'','\'low\''
Working,Separated,Fresh,Laborers,'\'new\'','\'low\''
Working,Married,Fresh,'Core staff','\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Managers,'\'old\'','\'low\''
Working,Married,Fresh,'Sales staff','\'old\'','\'low\''
'Commercial associate','Single / not married',Fresh,'Sales staff','\'old\'','\'low\''
'State servant',Married,Junior,'Medicine staff','\'new\'','\'low\''
Working,Married,Fresh,'High skill tech staff','\'new\'','\'low\''
Working,Married,Fresh,'Sales staff','\'old\'','\'low\''
Working,Married,Junior,'Core staff','\'new\'','\'low\''
'Commercial associate',Married,Fresh,'Sales staff','\'old\'','\'low\''
'Commercial associate',Married,Junior,Laborers,'\'moderate\'','\'low\''
'Commercial associate',Married,Fresh,Managers,'\'old\'','\'low\''
'Commercial associate','Civil marriage',Fresh,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,'Sales staff','\'new\'','\'low\''
Working,Married,Fresh,'Sales staff','\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,Managers,'\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,'Civil marriage',Fresh,'Core staff','\'old\'','\'low\''
'Commercial associate','Civil marriage',Fresh,'Sales staff','\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,Married,Junior,Managers,'\'old\'','\'low\''
Working,Married,Fresh,'High skill tech staff','\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'new\'','\'low\''
'Commercial associate',Married,Junior,Laborers,'\'moderate\'','\'low\''
Working,Widow,Fresh,Secretaries,'\'old\'','\'low\''
Working,Married,Fresh,'Cleaning staff','\'old\'','\'low\''
Working,Married,Fresh,'Core staff','\'old\'','\'low\''
Working,Married,Fresh,'Sales staff','\'moderate\'','\'low\''
'State servant',Separated,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
'Commercial associate',Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,Drivers,'\'old\'','\'low\''
Working,'Single / not married',Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
'Commercial associate',Married,Fresh,'Cooking staff','\'moderate\'','\'low\''
'Commercial associate','Single / not married',Fresh,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,'Core staff','\'old\'','\'low\''
Working,Married,Fresh,Drivers,'\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
'Commercial associate',Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,'Single / not married',Fresh,'Sales staff','\'new\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
'Commercial associate',Married,Fresh,Drivers,'\'new\'','\'low\''
Working,'Single / not married',Fresh,Drivers,'\'new\'','\'low\''
'Commercial associate',Married,Fresh,'Sales staff','\'old\'','\'low\''
Working,Widow,Fresh,Managers,'\'new\'','\'low\''
Working,'Single / not married',Fresh,Laborers,'\'old\'','\'low\''
'Commercial associate',Married,Fresh,Laborers,'\'new\'','\'low\''
'Commercial associate',Married,Fresh,Laborers,'\'old\'','\'low\''
'Commercial associate',Married,Fresh,Laborers,'\'old\'','\'low\''
Working,'Single / not married',Junior,Laborers,'\'old\'','\'low\''
'Commercial associate',Married,Fresh,Drivers,'\'moderate\'','\'low\''
'Commercial associate',Married,Junior,Laborers,'\'old\'','\'low\''
'Commercial associate',Separated,Fresh,'Cleaning staff','\'new\'','\'low\''
Working,Married,Fresh,Drivers,'\'moderate\'','\'low\''
Working,Married,Fresh,'High skill tech staff','\'moderate\'','\'low\''
'Commercial associate',Married,Fresh,'High skill tech staff','\'old\'','\'low\''
'State servant',Separated,Junior,Laborers,'\'new\'','\'low\''
Working,Separated,Junior,'Medicine staff','\'old\'','\'low\''
'Commercial associate',Married,Fresh,'Core staff','\'moderate\'','\'low\''
Working,Married,Fresh,'Sales staff','\'old\'','\'low\''
Working,Married,Junior,Laborers,'\'new\'','\'low\''
Working,Married,Fresh,Laborers,'\'new\'','\'low\''
'Commercial associate',Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,'Civil marriage',Fresh,'Security staff','\'old\'','\'low\''
Working,Married,Fresh,Drivers,'\'old\'','\'high\''
Working,'Single / not married',Fresh,'Core staff','\'new\'','\'low\''
Working,Married,Junior,Drivers,'\'old\'','\'low\''
Working,Married,Junior,'Core staff','\'moderate\'','\'low\''
Working,Married,Fresh,Accountants,'\'new\'','\'low\''
'State servant',Married,Fresh,'High skill tech staff','\'new\'','\'low\''
Working,Married,Fresh,Drivers,'\'old\'','\'low\''
'State servant',Married,Fresh,'Medicine staff','\'new\'','\'low\''
Working,'Single / not married',Fresh,'Private service staff','\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'new\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Junior,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,'Cooking staff','\'new\'','\'low\''
'Commercial associate','Single / not married',Fresh,Accountants,'\'moderate\'','\'low\''
Working,'Single / not married',Junior,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Junior,'Core staff','\'moderate\'','\'low\''
Working,Married,Fresh,'Medicine staff','\'new\'','\'low\''
Working,Married,Senior,Laborers,'\'new\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,'Civil marriage',Fresh,'Cooking staff','\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,'Core staff','\'old\'','\'low\''
'Commercial associate',Separated,Fresh,Laborers,'\'new\'','\'low\''
'Commercial associate','Single / not married',Fresh,Laborers,'\'old\'','\'low\''
'Commercial associate','Single / not married',Senior,'High skill tech staff','\'moderate\'','\'low\''
Working,'Single / not married',Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,'Single / not married',Fresh,Laborers,'\'new\'','\'low\''
'Commercial associate','Single / not married',Fresh,'High skill tech staff','\'old\'','\'low\''
Working,'Civil marriage',Junior,'Cleaning staff','\'moderate\'','\'low\''
Working,Married,Fresh,Drivers,'\'old\'','\'low\''
Working,Married,Fresh,Managers,'\'old\'','\'low\''
Working,Widow,Fresh,'HR staff','\'old\'','\'low\''
'Commercial associate',Married,Junior,Laborers,'\'old\'','\'low\''
Working,'Civil marriage',Fresh,'Cooking staff','\'old\'','\'low\''
Working,Married,Junior,'Medicine staff','\'old\'','\'low\''
'State servant',Married,Senior,Managers,'\'moderate\'','\'low\''
'Commercial associate','Civil marriage',Junior,Laborers,'\'new\'','\'low\''
Working,Married,Fresh,'Core staff','\'old\'','\'low\''
Working,Married,Junior,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'new\'','\'low\''
Working,Separated,Fresh,'Sales staff','\'new\'','\'low\''
Working,Married,Fresh,Managers,'\'new\'','\'low\''
Working,Married,Fresh,'Medicine staff','\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Junior,Managers,'\'moderate\'','\'low\''
'Commercial associate',Widow,Fresh,'Cleaning staff','\'old\'','\'low\''
Working,Married,Senior,Laborers,'\'new\'','\'low\''
'Commercial associate',Married,Fresh,Managers,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,'Civil marriage',Fresh,'Sales staff','\'old\'','\'low\''
'Commercial associate','Single / not married',Fresh,Accountants,'\'moderate\'','\'low\''
'State servant',Married,Senior,Laborers,'\'new\'','\'low\''
'Commercial associate','Civil marriage',Junior,Laborers,'\'old\'','\'low\''
'Commercial associate',Married,Fresh,Managers,'\'old\'','\'low\''
'Commercial associate',Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'new\'','\'low\''
Working,Separated,Fresh,'Security staff','\'new\'','\'low\''
Working,'Civil marriage',Fresh,Laborers,'\'moderate\'','\'low\''
Working,'Civil marriage',Fresh,'Sales staff','\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'new\'','\'low\''
'Commercial associate','Single / not married',Junior,Laborers,'\'moderate\'','\'low\''
'State servant','Single / not married',Fresh,'Core staff','\'old\'','\'low\''
Working,Married,Fresh,'Core staff','\'old\'','\'low\''
'State servant',Married,Senior,'High skill tech staff','\'moderate\'','\'low\''
'Commercial associate',Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,'Civil marriage',Fresh,Accountants,'\'old\'','\'low\''
Working,Married,Fresh,Accountants,'\'old\'','\'low\''
Working,'Single / not married',Fresh,Laborers,'\'old\'','\'low\''
Working,'Single / not married',Junior,Laborers,'\'old\'','\'low\''
'Commercial associate',Married,Junior,Laborers,'\'moderate\'','\'low\''
'Commercial associate',Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,Married,Junior,'Sales staff','\'new\'','\'low\''
Working,Married,Fresh,'Core staff','\'old\'','\'low\''
Working,Married,Junior,'Sales staff','\'moderate\'','\'low\''
'State servant','Civil marriage',Senior,Laborers,'\'new\'','\'low\''
'Commercial associate',Married,Fresh,'High skill tech staff','\'new\'','\'low\''
Working,Married,Fresh,Laborers,'\'new\'','\'low\''
'State servant',Married,Fresh,'Core staff','\'old\'','\'low\''
Working,Married,Fresh,Drivers,'\'new\'','\'low\''
Working,'Single / not married',Fresh,Drivers,'\'old\'','\'low\''
'Commercial associate','Civil marriage',Fresh,'Sales staff','\'moderate\'','\'low\''
'Commercial associate',Separated,Fresh,Laborers,'\'moderate\'','\'low\''
'Commercial associate','Single / not married',Fresh,'Sales staff','\'moderate\'','\'low\''
'State servant',Married,Junior,Managers,'\'new\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,Separated,Fresh,'Security staff','\'moderate\'','\'low\''
'Commercial associate','Single / not married',Fresh,Drivers,'\'old\'','\'low\''
Working,Married,Fresh,'Sales staff','\'old\'','\'low\''
Working,'Civil marriage',Fresh,Laborers,'\'old\'','\'low\''
'Commercial associate','Single / not married',Fresh,Laborers,'\'new\'','\'low\''
'Commercial associate',Married,Fresh,'Sales staff','\'old\'','\'low\''
'Commercial associate',Married,Fresh,'High skill tech staff','\'old\'','\'low\''
Working,'Single / not married',Junior,Managers,'\'moderate\'','\'low\''
Working,'Civil marriage',Fresh,Laborers,'\'moderate\'','\'low\''
'Commercial associate',Married,Fresh,Managers,'\'new\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,'Single / not married',Senior,Accountants,'\'old\'','\'low\''
Working,Married,Fresh,'Core staff','\'old\'','\'low\''
Working,'Single / not married',Junior,Managers,'\'moderate\'','\'low\''
Working,Separated,Fresh,Laborers,'\'new\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Junior,Managers,'\'old\'','\'low\''
'State servant',Married,Fresh,'Core staff','\'old\'','\'low\''
Working,Separated,Fresh,'Cooking staff','\'new\'','\'low\''
'State servant','Single / not married',Junior,'Medicine staff','\'new\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
'State servant',Married,Junior,Managers,'\'moderate\'','\'low\''
'Commercial associate',Married,Senior,Laborers,'\'old\'','\'low\''
'Commercial associate',Married,Fresh,Accountants,'\'old\'','\'low\''
Working,Married,Fresh,'High skill tech staff','\'new\'','\'high\''
Working,'Single / not married',Fresh,'High skill tech staff','\'old\'','\'low\''
Working,Married,Fresh,'Security staff','\'new\'','\'low\''
Working,Married,Junior,Laborers,'\'old\'','\'low\''
'Commercial associate',Married,Fresh,'Low-skill Laborers','\'new\'','\'low\''
Working,'Single / not married',Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
'State servant',Separated,Junior,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Accountants,'\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,'Waiters/barmen staff','\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Junior,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
'Commercial associate',Married,Fresh,'Sales staff','\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'new\'','\'low\''
'State servant',Married,Junior,Laborers,'\'old\'','\'low\''
'Commercial associate','Single / not married',Fresh,Laborers,'\'moderate\'','\'low\''
Working,'Single / not married',Fresh,'Core staff','\'old\'','\'low\''
'Commercial associate',Married,Fresh,Managers,'\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'new\'','\'low\''
'Commercial associate',Married,Fresh,'Private service staff','\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
'Commercial associate','Civil marriage',Fresh,Laborers,'\'moderate\'','\'low\''
'Commercial associate','Civil marriage',Junior,'Sales staff','\'moderate\'','\'low\''
'Commercial associate',Married,Fresh,'Sales staff','\'moderate\'','\'low\''
Working,'Single / not married',Fresh,'Sales staff','\'old\'','\'high\''
Working,Separated,Fresh,Laborers,'\'new\'','\'low\''
Working,'Civil marriage',Fresh,'Sales staff','\'old\'','\'low\''
Working,Widow,Junior,Laborers,'\'new\'','\'low\''
Working,Married,Fresh,Drivers,'\'moderate\'','\'low\''
Working,Separated,Fresh,Laborers,'\'old\'','\'low\''
'Commercial associate',Married,Fresh,Accountants,'\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,Drivers,'\'moderate\'','\'low\''
'State servant',Married,Fresh,Laborers,'\'moderate\'','\'low\''
Working,'Civil marriage',Fresh,Managers,'\'moderate\'','\'low\''
Working,Married,Fresh,Managers,'\'moderate\'','\'low\''
Working,'Single / not married',Fresh,'Security staff','\'old\'','\'low\''
Working,Married,Fresh,'Low-skill Laborers','\'new\'','\'low\''
'Commercial associate',Married,Fresh,Managers,'\'old\'','\'low\''
Working,'Single / not married',Fresh,'Sales staff','\'moderate\'','\'low\''
'Commercial associate',Married,Fresh,Drivers,'\'old\'','\'low\''
'Commercial associate','Single / not married',Fresh,'Core staff','\'new\'','\'low\''
'Commercial associate',Separated,Fresh,Laborers,'\'new\'','\'low\''
'Commercial associate','Single / not married',Fresh,'Sales staff','\'old\'','\'low\''
Working,Married,Junior,'High skill tech staff','\'old\'','\'low\''
Working,Married,Fresh,'Cleaning staff','\'moderate\'','\'low\''
Working,Married,Fresh,'Sales staff','\'new\'','\'low\''
Working,'Single / not married',Fresh,Laborers,'\'old\'','\'low\''
Working,'Civil marriage',Fresh,'Sales staff','\'old\'','\'low\''
'State servant',Married,Fresh,'Core staff','\'moderate\'','\'low\''
'State servant','Single / not married',Fresh,Managers,'\'new\'','\'low\''
'State servant',Married,Fresh,'Medicine staff','\'old\'','\'low\''
Working,Married,Junior,'Core staff','\'old\'','\'low\''
Working,'Civil marriage',Fresh,'Security staff','\'moderate\'','\'low\''
'Commercial associate','Single / not married',Fresh,'Cooking staff','\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'old\'','\'low\''
Working,Married,Junior,'Core staff','\'new\'','\'low\''
'Commercial associate',Married,Fresh,'Security staff','\'old\'','\'low\''
'Commercial associate',Separated,Fresh,Laborers,'\'moderate\'','\'low\''
'Commercial associate',Married,Fresh,Managers,'\'moderate\'','\'low\''
Working,Married,Fresh,Drivers,'\'new\'','\'low\''
'Commercial associate','Civil marriage',Fresh,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,Managers,'\'new\'','\'low\''
'Commercial associate','Single / not married',Fresh,Accountants,'\'old\'','\'low\''
Working,Married,Fresh,'Sales staff','\'new\'','\'low\''
Working,Separated,Junior,Laborers,'\'new\'','\'low\''
'State servant',Separated,Fresh,'Medicine staff','\'old\'','\'low\''
Working,Married,Junior,Laborers,'\'moderate\'','\'low\''
Working,Married,Fresh,'Core staff','\'moderate\'','\'low\''
Working,'Civil marriage',Senior,Laborers,'\'old\'','\'low\''
'Commercial associate',Married,Junior,'Sales staff','\'moderate\'','\'low\''
Working,Married,Fresh,'Sales staff','\'old\'','\'low\''
Working,Married,Fresh,Laborers,'\'new\'','\'low\''
'Commercial associate',Married,Fresh,Laborers,'\'old\'','\'low\''
'Commercial associate','Civil marriage',Fresh,'Cooking staff','\'old\'','\'low\''
Working,'Single / not married',Fresh,Laborers,'\'old\'','\'low\''
